STATE,EVENT,NEW_STATE,ACTION
INIT,NEW_GROUPBY,GROUPBY_PARSEWAIT,ParseGroupby
GROUPBY_PARSEWAIT,GROUPBY_PARSE_SUCCESS,CLAUSE_PARSE_SUCCEEDED,ReportError
GROUPBY_PARSEWAIT,GROUPBY_PARSE_FAILURE,CLAUSE_PARSEWAIT,StartGroupBySubClauseLevelParsing
CLAUSE_PARSEWAIT,CLAUSE_PARSE_FINISHED,CLAUSE_PARSEWAIT,CheckResponses
CLAUSE_PARSEWAIT,ALL_RESPONSES_SUCCESS,UNKNOWN_ERROR,ReportError
CLAUSE_PARSEWAIT,RECEIVED_ALL_RESPONSES,FINALIZED,ReportError
