STATE,EVENT,NEW_STATE,ACTION
INIT,NEW_GROUPBY_SUBCLAUSE,GROUPBY_SUBCLAUSE_PARSEWAIT,ParseGroupbySubclause
GROUPBY_SUBCLAUSE_PARSEWAIT,GROUPBY_SUBCLAUSE_PARSE_SUCCESS,CLAUSE_PARSE_SUCCEEDED,ReportError
GROUPBY_SUBCLAUSE_PARSEWAIT,GROUPBY_SUBCLAUSE_PARSE_FAILURE,CLAUSE_PARSE_FAILED,ReportError
