STATE,EVENT,NEW_STATE,ACTION
INIT,NEW_WHERE_SUBCLAUSE,WHERE_SUBCLAUSE_PARSEWAIT,ParseWhereSubclause
WHERE_SUBCLAUSE_PARSEWAIT,WHERE_SUBCLAUSE_PARSE_SUCCESS,CLAUSE_PARSE_SUCCEEDED,ReportError
WHERE_SUBCLAUSE_PARSEWAIT,WHERE_SUBCLAUSE_PARSE_FAILURE,CLAUSE_PARSE_FAILED,ReportError
