STATE,EVENT,NEW_STATE,ACTION
INIT,NEW_SQL,SQL_PARSEWAIT,ParseSql
SQL_PARSEWAIT,SQL_PARSE_FAIL,INVALID_SQL_ERROR,ReportError
SQL_PARSEWAIT,SQL_PARSE_SUCCESS,IMPALA_PARSEWAIT,ParseSqlImpala
IMPALA_PARSEWAIT,IMPALA_PARSE_SUCCESS,NO_ERROR,ReportError
IMPALA_PARSEWAIT,IMPALA_PARSE_FAILURE,CLAUSE_PARSEWAIT,StartClauseLevelParsing
CLAUSE_PARSEWAIT,CLAUSE_PARSE_FINISHED,CLAUSE_PARSEWAIT,CheckResponses
CLAUSE_PARSEWAIT,ALL_RESPONSES_SUCCESS,UNKNOWN_ERROR,ReportError
CLAUSE_PARSEWAIT,RECEIVED_ALL_RESPONSES,FINALIZED,ReportError
